decile,2019,change in 2020,2020
1-10,2045,-6.10%,1920.26
11-20,4121,-3.20%,3989.13
21-30,5893,-2.20%,5763.35
31-40,7788,-2.00%,7632.24
41-50,9829,-1.50%,9681.57
51-60,11700,-1.40%,11536.20
61-70,13965,-2.20%,13657.77
71-80,16821,-2.00%,16484.58
81-90,20413,-1.80%,20045.57
91-100,31289,-2.30%,30569.35

